publication_code,issue_id,item_id,newspaper_title,data_provider,date,year,month,day,location,word_count,ocrquality,political_leaning_label,price_label,text
3037,415,art0083,The Blackpool Herald.,British Library Living with Machines Project,1892-04-15,1892,4,15,"Blackpool, Lancashire, England",1017,0.9666,,1d,"A CREMATORIUM FOR BLACKPOOL  TO THE EDITOR. read the very interesting letter in your last issue from ""W. L. 5.,"" on the subject of a crematorium for Blackpool. I quite agree with the suggestions made by the writer. I think it is a reflection upon our civilisation and vaunted progress and enlightenment that we should still have such a primitive and altogether objectionable method of disposing of our dead. It is no mark of affection for loved ones, who I have been taken from us, to consign their last remains to the bowels of the earth, there to go I through the horrible process of decomposition I and putrefaction. The Englishman is in many respects exceedingly conservative, and in some highly sentimental. I can well conceive that many people would stand aghast at the bare suggestion of cremation, and that they would countenance the old-fashioned system of burial without ever a thought as to the consequences of their act. I agree with your correspondent that there is a great probability that owing to the insanitary smells and the contamination of natural moisture, much disastrous sickness is occasioned ; and my view is that while we owe every possible respect to the dead, that respect must not be carried out at the expense of the health of the living. It is infinitely more important to consider our duty to the latter than it is to hedge about with what are in • great measure purely sentimental, shall I say misguided, ideas as to our obligations and duties to the mortal remains of those who are no more. Wnat with our increasing population and the greater demands for the cultivation of every available inch of land, it seems that the country will era long be bound to seriously face this problem of the burial of the dead. And why prolong it, until we reach a suicidal condi ion of things? If the people have sentimental objections to it. the people want educating, and it is the duty of all those who are alive to the shortcomings and dangers of the present system to take their share in dispelling prevailing prejudices against any change in this sacred rite. The old Romans and other nations in those days, I believe, were not strangers to cremation and even archaologists occasionally come across urns containing the long-preserved ashes of the people of other days. This is a subject which requires ventilation, and the moment we can begin to open the eyes of the present generation to the evils and the abominations of the present system, then will the light of an advanced civilisation scatter the darkness of past prejudice and foolish regard for a system which ought to have disappeared with all the other objectionable features of what we sometimes have the temerity to designate as the dark days.  In taking up this attitude I give place to no ' one in my regard for our sacred duty to the dead. Neither am I unable to rise to the . beauty of Gray's lines, wherein he pictures the touching beauty and tender associations connected with the village churchyard: "" Each in his narrow cell for ever laid, The rude fore-fathers of the hamlet sleep."" From this point of view there may be little to be said as to the evils of our present cystem of interment. We appreciate the sentiment, which is a most beautiful one, and we drink in the inspiration and the beauty of this charming pastoral picture. But the sentiment which . throws a halo round the cemetery and the confines of a large populous town is robbed of much of its eloquence, much of its beauty, much of lie higher inspiration, when we are brought face to face with the fact that that cemetery crowded as it is with the remains of the dead is a positive menace and a serious danger to the health of the entire community beside it. I maintain, sir, that no system of sanitation could obviate the evil, and while on this point I may say that I have very little faith in the success of the operations of the Cemetery Committee, who, I see from your last issue, are about to consider the advisability of improving the sanitary arrangements of the drainage of our own little cemetery. This is an imperative duty, of course, so far as they are concerned, but would it not be a thousand times better to introduce a system which would be fraught with no such contaminating influences; and which would give rise to no such dangers. I would urge upon your readers, sir, that this is a most serious matter, and I would respectfully point out that those fathers and mothers and others who are at the head of the ocmmunity of Blackpool owe it to their children and their children's children to take their part in the regulation and improvement of any such manifest defects as the One to which their attention is now drawn. Cremation may not give rise to altogether pleasant thought*. We do not like the idea of burning the bodies of the dead, but I would suggest that we, at all events, should know that they ate not buried alive, and that is a feature which, although absurd on the surface, is nevertheless a terror to thousands of people now living, for instances of persons being • buried alive have been recorded, and are still happening. But I must conclude, having already occupied too much of your valuable space. I trust, however, that other of your readers will give their views on this important, and to my mind, urgent subject, , and beg to remain, yours very truly, PUBLIC HEALTH. Church-street, April, 1892.  DDECAY OF VITAL POWER—A FREE REMEDY. Results of early errors removed. Cause. treatment and cure of Physical Debility,ff wrongness. dm.. with particulars for simple self-treatment Address W. a Buoys. Esq.. id, WlLlPo4e4grrage, Imo own. Brighton. 8. Ear's Tic Pnan, specific in Nenrdlgia, Ace, ache, 90. and 13d. ; Restage Id Of all  "
3037,802,art0113,The Blackpool Herald.,British Library Living with Machines Project,1878-08-02,1878,8,2,"Blackpool, Lancashire, England",395,0.9128,neutral,1d<SEP>2d,"Mrs Lawton Stretford Miss Lawton ,  Mr Lawton  Master Lawton Mr Walshaw Halifax Mrs Walshow Mr Sharp Queensbury Miss Stott Sowerby Bridge Mass Berry Miss Cuntiffs Ulmston Miss Maddock Mrs Bulcock Accrington Mrs Flinchcliffe Greenfield Miss Hinchcliffe Mrs Simpson Manchester Mrs Hirst liaughton 21 Mr Lambert Mossley Mr J Larabert Mrs Newtown, fain Sale Mr Newsome Warwickshiae Miss Newsome Miss Speakley Mr Taylor Eden Mrs Taylor Miss Taylor Rawtenstall Mr E Rawtenstall 11/r Buckley Mossley Mrs Buckley Mr Hope Manchester Mrs Hope Miss Hope  Mr Ridgway Salford Mrs Ridgway Mr Hodgson Sowerby Bridge Mr Hoyle Manchester Mrs Hoyle, baby ors Mrs Starkey, 22 Mr Pawlinson Huddersfield Mrs Raw neon  J Turner Esq Mrs Turner  Miss Chambers  Mr Bottom  Mrs Hallas  Master iVaias  Mr Roebuck  Miss Roebuck  Master Roebuck  Mr Stanhope ... ... Mrs Stanhope Mrs Ogden Manchester Mies Biddolph Mies Chambers ... York Miss Lewis ...  'Mrs Baines. Sheffield Mr Smith Netherton Mrs Smith baby  Bradford'  Mr White Mrs White Mr Thompson Mrs Thompson Mr Dunn Mrs Dunn Mr Thornley Bolton Mrs Thornley Mrs Kershaw . • Mrs Smith Liverpool Miss Smith . . Mr Bradley Blackburn Mr Browne Miss Wardning . . Miss A We.rdning Master Wardning Mrs Gardner, 26 Mcs Derbyshire, fam Old Trafford Miss Paul, fain Miss C Paul Mrs Thompson Manchester Mr Ferguson Miss Ferguson Miss A Ferguson 28 Mr Denison Leeds Mrs Denison Mr Gregory Salford Mrs Gregory Master Gregcay Mies Gregory Mr Cotter Tne Brook' Mrs Cotter  Mrs Sellers, 27 Mr Bay Sabden Mrs Kay Master Kay Miss Maughan New Mills Miss Sidebottom Miss Fairweather Todmorden Mrs Petch Mr Eccles Bury Mr Simpson Blackburn Mrs Priestley Leeds  Miss Anderson 29 Mr Lord Todmorden Mrs Lord Mr Cooper Matloek Mrs Cooper, fam Mr Bryan Mrs Bryan Mrs Hadfield Mr Wilcock Mrs Wilcock Miss Langstreth Bacup, Mrs Green Mrs Beddows 30 IMr Blackledge Leeds Mrs Blackledge  80-w-a-o-n- 1  Mrs Hanson Mrs Chapman Mr Rogers Old Trafford Mrs Rogers Miss Higginbottom Sale Miss Brougham Huddersfield Miss Morris' Bury Min Kernick Mr Baker Manchester Mrs Baker Miss Baker Master Baker Mr Little Mrs Little Mr Turner Mrs Turner Liverpool Mr F Turner  Lockwood 1  Mrs Schofield 32 Mr Hutchinson Manchester Mrs Hutchinson Master Hutchinson Miss Hutchinson Mr McClelland Master McClelland Mr Horsfall Todmordenl  Miss Berry Halifax Mrs Berry Miss Berry Church Mr belt "
3037,830,art0009,The Blackpool Herald.,British Library Living with Machines Project,1878-08-30,1878,8,30,"Blackpool, Lancashire, England",131,0.9262,neutral,1d<SEP>2d,"PRICE LISTS AND BOOK OF PATTERNS  May be had on application.  Managing Director and Secretary, Mr. G. CIIRWIEN.  BEEHIVE HOUSE,  ST. PETER'S PLACE, A.ND EAST-ST, Fleetwood.  ROBERT DOUGLAS Is now showing a New and Fashionable Assortment of GOODS in Every Department of the Drapery Business AT REDUCED PRICES.  New Dress Goods, all prices. New Jackets, Crossovers, and Mantillas. New Skirts and Skirtings in great variety. New Shawls and Handkerchiefs. New Bonnets and Hata. New Flowers, Feathers, Ribbons, &c. Cheap lots of Winceys, Flannels, Calicoes, Sheets, Carpets, Druggets, Rugs, &c.  MEN'S ouTFirrING, READY MADE SUITS, ""WOOLLEN CLOTHS.  Hats and Caps, Shirts, and Shirting&  Hosiery, dzo., &c.,  WHOLESALE AND RETAMI  ST, PI.TEE'S PLACE, ELEETWOOD.  JOHN UTTLEY & CO., WHOLESALE AND RETAIL PORK BUTCHERS & PROVISION MERCHANTS, NO. 11, MARKET -STREET, BLACKPOOL.  I "
3039,1229,art0046,The Northern Guardian.,British Library Living with Machines Project,1891-12-29,1891,12,29,"Hartlepool, Cleveland, England",102,0.9889,neutral,½ d,"OWNERS BET,  and that very often the stake itself is by very much i the smallest part of the gain a victory brings, it is futile to express regret that racing has become to so great an extent a business; for that, under the circumstances, is inevitable. It is unfortunate that • there are foolish people who, having no knowledge of, or legitimate connection with, the Turf, will lose money by betting ; but it is an evil which follows in the train of the business of sport, and is not to be averted except by the common sense of individuals. "
3039,1219,art0025,The Northern Guardian.,British Library Living with Machines Project,1892-12-19,1892,12,19,"Hartlepool, Cleveland, England",2,1.0,neutral,½ d,PUBLIC NOTICES. 
3039,809,art0015,The Northern Guardian.,British Library Living with Machines Project,1895-08-09,1895,8,9,"Hartlepool, Cleveland, England",3,0.9233,unionist,½ d,PUBLIC NOTICES.  TO-NIGHT. 
3039,807,art0038,The Northern Guardian.,British Library Living with Machines Project,1895-08-07,1895,8,7,"Hartlepool, Cleveland, England",32,0.9863,unionist,½ d,"THE FORESTERS' HIGH COURT.  At the Foresters' High Court at Brighton, to-day, the Atlantic Subsidiary Executive asked to be allowed to conduct their own internal affairs in America. The application was granted. "
3039,814,art0033,The Northern Guardian.,British Library Living with Machines Project,1899-08-14,1899,8,14,"Hartlepool, Cleveland, England",75,0.9699,unionist,½ d,"PUBLIC NOTICES.  SBOF 4.1,1 L L 3 L 00,.. 0 0 I TIPZ! prepared tor all PUBLIC EXAMINAThoroach Commermal ard Elijah &hoe] Edw.tine se Moderate Rare, School Book. and Stationery pi...tided Fr, Allowance made in Feea lot Brother, No extra fed, Neat Term commence., on TUESDAY. BlCrid-12tb. • Apply tot Proxpeet, to tile Principal (.Tno. T. Branaon). Brorditham errace. Weid Hartlepool.  HAR T L E P O O L 00-OPERATIVE SOCIETY. LTD. "
3039,813,art0003,The Northern Guardian.,British Library Living with Machines Project,1897-08-13,1897,8,13,"Hartlepool, Cleveland, England",102,0.9184,unionist,½ d,"CYCLE ANNOUNCEMENTS.  HOTELS, ETC.  SHIPPING NOTICES.  MONEY.  '' NUCOLINE."" ""NUCOLINE."" "" NUCOLINE."" "" NUCOLINE.""  The Future Crooking Butter. Pure Vegetable Butter. Eirrsed from Sweet Nuts, Nutritive, Dirstive. Pure. Perfect for Baked and Boiled Pastry, Fish Frying. t4^.. .tc. If your Grocer does not keep it, apply to ""Nuculue,"" Cairn Mills, Silvertown, London, E.  END Your GOODS, BAGGAGE, PARCELS, &c., to the CONTINENT, COLONIES, AMERICA, and ALL PARTS OF THE WORLD at the lowest rates through Van Oppen and Co., Ltd., 162, Aldersgate Street. London, or 14, South John Street, Liverpool. Branches and Agents everywhere. Removals effected. Furniture packed for export. "
3039,1205,art0006,The Northern Guardian.,British Library Living with Machines Project,1896-12-05,1896,12,5,"Hartlepool, Cleveland, England",1,1.0,unionist,½ d,I 
3039,609,art0046,The Northern Guardian.,British Library Living with Machines Project,1896-06-09,1896,6,9,"Hartlepool, Cleveland, England",262,0.9204,unionist,½ d,"WEST HARTLEPOOL CUSTOMS HOUSE.  JUNE 8. IMPORTS.  Gustaf, Johansson, Y're.rn—oe—a-nd: 18,433 pieces props (to order)—Metcalfe, Simoson, and Co, agents Crresu.4, Tuft, Riga, general-3 E Guthe and Co,  agents Relis, Ingebritzen, Marennes, 220 tons iron pyrites— Seaton Carew Iron Co, consignees; A Farmer,  agent Normand, Burgher, Hernosand, 113,838 pieces preps— G Horsley and Co, consignees; C H Ford, agent Empress, Cooper, Hamburg, general—T Barraclough, consignee and agent NVendelina Wickerdina, Ven,ina, Gothenburg, 132 tons wood pulp (to order)—Richtering Bros, agents Triton, Carlsson, Warberg, 30.648 pieces props—J NVI Baird and Co, consignees; Fawcitt and Co, agents Hathers,age, Weltz, Wederlaks, 575 fathoms pulpwood —C A Forslind and Son, consignees ; J Merryweather and Co; ag-uts Nicolay H Knudtzen, Pettersen, Risoer, 1,157 pieces square timber (to order), 634 fathoms slabs—G A Fletcher and Co, consignees; E A Casper and Co,  agents Newton, Josefsen, Kalmar, 4,047qrs oats (to order)— C H Ford, agent Cathcart Park, Brock, Stettin, 350 loads props (to order)—G Horsley and Co, agents EXPORTS. Fremad, Ellison, Elsinore, 150 tons coal—E A Casper and Co, brokers COASTERS REPORTED INWARDS. Glenarm, Kerr, Belfast via Lieth, general—A Farmer,  agent Ida, Renish, Swansea, 340 tons burnt ore--Seaton Carew Iron Co, consignees ; Dunford aud Elliott, agents  COASTERS CLEARED. Spray, Storey, Dundee, 500qrs barley—F H Taylor, agent Jet, Wilson, London, 1,200 tons coal—E W Garbutt, shipper Trenti 3,louzine, Nann, Bridport, 130 tons coal—J Sinclair, shipper Leader, Groombridge, Whitstable, 320 tons eoal—J Sinclair, shipper Eppleton, HeAley, Devonp-xt. 1,100 tons coal—Weardale Iron and Coal Co, shippers "
3039,509,art0068,The Northern Guardian.,British Library Living with Machines Project,1896-05-09,1896,5,9,"Hartlepool, Cleveland, England",22,0.9973,unionist,½ d,"NORTHERN GUARDIAN  WILL BE ISSUED AS USUAL  ON TUESDIY  AND ON SUCCEEDING RACE DAYS.  AT 11 AM.,  Containing  ALL THE LATEST SPORTING. "
3040,421,art0066,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1894-04-21,1894,4,21,"Birkenhead, Merseyside, England",434,0.9337,independent; conservative,½ d<SEP>1d,"KOK-ALBLAS' PUPILS' CONCERT.  On Tuesday evening the third annual concert by the pupils of NIL Join. Kok-Alblaa, Whetstone-lane, was given in the Claughton Music Hall. There was a crowded and fashionable audience. Mr. Paul Lange, who presided, opened the proceedings by warmly eulogising Mr. Kok-Alblas as a teacher and conductor, instancing the careful training of which his own children had received. He caused some amusement by calling attention to the fact that a young lady was playing the double bass that evening, and said that in a short time, ladies would be found who could perform on wind instruments as successfully as they had shown they could upon the violin. The composition of theorchestra was as follows— Firat violins: Misses E. Bloor, Rose Thompson Louie Smith, Pryce Jones, A. Broeklebank, M Latham, Pollie Pritchard, Jennie Price, May }fining, F. Lange, Blanche Simpson ; second violins: Misses B. Kok-Alblas, Stella Brolly Ethel Jahnke, May Smith, Eva Roe, Rebe Wild, Nellie Gast, Adelina Sinclair, Buckley, McEvoy, Mr. Alderwood,'Master L. Montgomery, Mimes Annie Knowles, and Amy Knowles; ' violas: Miss Harbridge, Mr. Willie Shaw; violoncellos: the Misses L. Harbridge, Mabel Roe Ruby Lange, Evie Smyth, Mathews, Masters Arthur Lee and James Shaw ; contra basses: Memos, Jones and Davies; piano: Miss Lucy Harbridge ; oboes: Mr. Bridger ; flutes: Messrs Lawler and Mercer; clarionettes Messrs. W. H. Lowkee and Bowker ; bassoon: Mr. J. J. Alexander; born: Mr. Rabin; corsets: Messrs. Jones and Dobbins; euphonium: Mr. Wright; trombones: Messrs. Field and Kelly; tympani: Mr. J. B. Jackson. The orchestra were particularly successful in their performance of the march from ""The Prophete "" (Itleyerbeer), selections from the Bohemian Girl, and a march from "" Tannhaueer "" (Wagner). Miss Ruby Lange played a solo on the 'cello, "" Chanson d' Amour "" (St. George), displaying thereby considerable taste and executive skill. The feature of the evening, instrumentally, was the first appearance of the Ladies' ""Octet,"" who gal/elm Idylle by Labitsky, and a Meditation by Faumnier. The first part was rather out of tune, but the second one went in very good form, and, considering the performers were very young ladies, was played with remarkable strength. Violin solos were played by Miss Rose Thompson, Miss Betty Kok-Alblas, and Miss E. 'Moor, and in' each ease, though the audience were very appreciative, encores were disallowed, owing to the length of the programme. The concert was charmingly diversified by the vocal efforts of Miss L. Smith and Mr. James Murphy, and altogether was decidedly the most successful which the pupils of Mr. J. KokAlblas have so far given. "
3040,511,art0121,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1918-05-11,1918,5,11,"Birkenhead, Merseyside, England",1280,0.9038,conservative,1d<SEP>2d,", • . ."" • „,, ' ••• . • .*.k '  County Education Rates.  At a meeting of the Cheshire Education Committee at Crewe on Monday. Dr. NV:n. Hodgson (chairman) presiding. Mr. q. Richardson moved the adoption of the minutes of the Finance Committee, ()Nerving that the totals had worked out better than he anticipated, but the rates be men. I tioned at the last meeting were being recommended to the County Council by the ICounty Finance Committee. The rates were: Elementary education Is. Id., au iiicrease of id.. and higher education 2s. Id . ' the same se last year. The balances were nearly s,-.000 in respect of elementary education. which was the same practically as the balance carried forward from the previous veer, and which. meant that on the lath then levied the covAred expenses. Regarding higher 'education,, the ba'atrae was expected to be larger, and it was nearly ..elO,OOO as against £5,000. In neitler ease was the reserve exoeesive, when .they considered. especially as regarded elementary education, there were wales of sala.zies to be considered for the teachers and the inoreased amount ,of other proposals in the Education Bill now before Parliament, of which a considerable part was hound to fall upon tge rates. The minutes were approved. SBOONDARY SCHOOLS.  • On the minutes of the Higher Edueation Sub-committee, Canon Grant Bird cal:ed attention to the following resolution which had been passed:—""(a) That, except in the ease of increases of teachers' salaries Cue under existing agreements, consideration of all increases of teachers' salaries pro2osed in the estimates for 1918-1919. submitted by the governors of the respective County Secondary Schools, be deferred until the sub-committee has dealt with the question. of instituting a scale or scales of salaries for teachers in County Secondary &hook subject, however, to any rates of payment under the scale or scales finally approwed, dating from the Ist April, 1918, and to the sub-committee dealing in the meantime with any cases requiring immediate attEntion. (b) That this resolution be contrailnicated to the governors of the respective County Secondary Schools."" This important resolution, lut said, adumbrated an attempt which he trusted woutd do a great deal for the benefit of th eCounty Secondary Schools, and would siso be greatly appreciated by the teachers. There had been a steady increase in the nnmbars attending the secondary schools. Ifl4 there were 1,707; 1915, 1,906; 11'16, 1,989; 1917, 2,105; and 1918, 2.819 scholars. —The minutes were confirmed. DEFECTIVE SCHOOL CHILDREN. Dr. Meredith Young, school medical officer for Cheshire, in a report preseated, stated that children suffering from de!tcts of teeth. vision. enlarged tensile, adenoid's, and other ailments in the public elementary schools of Cheshire could be adequately treated for .e 2,000 per annum, half of which the Board of Education, would pay. It was decided to adopt the medical officer's recommendations, and also o appoint a whole-time medical inspector.  COUNTY C.ALFN DAR.—'rhough rtailed, as teat year and in 1916-17. b lees than half its pre-war site, the Caleatlar or year book for the county of Chester for the current year is a useful nablication to all engaged in the adniinistration of the county's affairs, generally or locally. A full list of the meetings of the County Council and of the raultstudierie committees, sub-committees, and dlter-et commitreee, up to March Met, 149, is given; followed by a list of the meml-ets of the County Council, and the names members of all the principal comaritteei, Navigation Truets. representatives of the Council on various authorities, memoets of the County Liceasing Committee, cud SO On.  Birkenhead Trades Council.  A NZWT AL REPORT.  Councillor W. H. Egan. the secretary of the Birkenhead and District Trades C'onn. cil and Labour Party, has just issued thf annual report--the th—of that orgaai....,tion. It deals with its operations tram Mardi, 1917, to April, 1918, and states that, founded in 1892, the records show a von. tinnous increase in membership and tn rfluence. It proceeds: ""It is very gratifviug to report that in this the silver jabil.a year the Council was stronger than ever, and probably in the near future will •oap thee fruit of the strenuous labours of lb( past quarter of a century. With the forma. tion of No, 7 Branch Boilermakera' Soe.pgi and No. 3 Branch of the Waren(4ls4 Workers' union the number of branches and societies now affiliated to the Cottrell is 77, with a total approximate membor. Iship of 24,000, represented by 180 dole eutes."" .  'Proceeding, the report states that a period of industrial .prosperity has bica again experienY.A. Wages had been ad. vanced periodically, while the Government had expresse- d a strong desire to eliminate overtime wherever posaible. This was a sane policy, but the good effects had been largely nullified by a corresponding rise in the priee of commodities. Advances of wages accompanied by increases in the ec.st of living had been well described -is mi. yelling in a vicious circle, as the advautcs were met, not by productivity, but by an inflated paper currency, whii was bound to operate sooner or later against the financial stability of the country. the workers wore realising that advance* of wages were not in themselves suffilieat to solve the problem of decent, healthy liv. Ma, for there was a growing demand by labour to exercise some control over in. dustry, with a better regulated orgaotza. tion for the production of the necessities of life.  Reference is then made to the amsl,ra. motion of kindred trades, gratification is expreesed at the molts achieved during the year in regard to the housing question, and it is recorded that ""as it will be some time after the conclusion of the war before housing needs can be met, in conjunction with other Councils we are urging 1L.,Government to extend the Rents Act to two years instead of six months after the war ends. the time at present stipulated in the Act."" T mattere such es coal supply to the poorer classes, and the food question. a;lusion is then made, and coming to Town Council matters mention is made that Cre Political truce is still in existence, tracugh it is an open question whether its anPli• cation to local government has been or beneficial. Interest in Council mattll is apparently lees keen. Expenditure ii agreed upon almost without comment, Criticism is less and less in evidence, with the inevitable result that the raanagemnt of the town appears to be in the hand, of some five Or six persons, a state whiA ts net always condnoive to good government."" In sucoession mention is made of the Mayoralty question, and it is set out that it is intended to press again for re;ori.. tion of the .Labour Party in this rewcct when the tune is suitable. To tile four Labour members of the Council Still the colours all good wishes are extead4. and mention is made of the successful S'' day lecture meetings at Beechcroft, as also of the several conferences in which repre• sentatives of the Council took pert. In conclusion the secretary mentions proolems that will have to be. faced in the near future, and states:—""Publie opinion, public ideals, are all being remoulded. Tie form they will take will be largely influenced by the ideals and aspirations of the Labour party. iWth a policy founded on these ideals the Cbrinc.il may with con. &deuce look forward to the COnlinfrsear sustained liv the conviction that •t vll add something to the sum of human life end happiness."" "
3040,1119,art0029,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1881-11-19,1881,11,19,"Birkenhead, Merseyside, England",1103,0.9709,liberal; conservative,1d,"LITERARY AND SCIENTIFIC SOCIETY.  TUE fortnightly meeting of the above Society was held at the Music Hall, Claughton-road, on Monday last. Mr. A. Whytt, the president, in the Main  The paper announced for the evening was "" The life history of a rain drop ; "" to be read by Air. Reid, butlhat gentleman was detained at York, by severe indisposition, and so prevented from being present. The President read an interesting cutting from a newspaper, descriptive of the formation of ice in various ways, particularly its natural formation in summer in certain caves, and the cultivation of ice by night in the neighbourhood of Calcutta. The Rev. 111. Kaufmann then read a paper on John Ruskin, with particular reference to the Slade Lectures and ""Sesame and Lilies,"" the works at present under study by the Birkenhead Ruskin Society. The paper he had already read before the Ruskin Society, and an account of it appeared in the Birkenhewl News of the 12th inst., to which we refer our readers.  The Rev. Mr. Kingsmill thought that in forming such societies as the Ruskin Society there was an Undue tendency to hero worship. He agreed that there was no necessary conflict between the useful and the beautiful, and the tendency of the times was to recognise that fact. Many of Ruskiu's principles, though sufficiently expressed, were as old as the human intellect itself. The work of the society would, however, be good in respect of leading people to etudy the original works of the author, instead-of being content, as was too often the case, to acquire their instruction at second hand in a more or less diluted condition. The idea of doing something toward improving the dwellings of the working classes was a very good one. There were two prevailing theories relative to the working classes. One that they were very poor, dependent, and wretched, the other that they were the lords and masters of the country, and that property and privilege existed only on their sufferance. The truth he believed to lie between these two extremes. The working classes were very independent and objected to being dictated to either in matters of art or anything else. . One of the most admirable things in Mr. Ruskin's teachings was his maintenance of the dignity of labour. As long as the so-called upper classes treated labour as contemptible, so long would the working classes imitate them and spend in idleness such time as they could spare for their labour. They must take away the false idea that the only way to rise was to rise out of one's lot instead of rising in it. (Hear, hear.) Mr. Rees said he had not read many of Mr. Ruskin's works, but as far as he was able to judge from what he had read Mr. Raskin did not seem to lay so much stress on the practical as on the good and pure. To his (the speaker's) mind, if a man was practical he WS also to that extent good and pure. He considered the philosophy of bread and cheese to be the most important philosophy in society at the present day. Agriculture and cookery were the most important elements of society. After due attention to these they might come to appreciate works of art, but without them Mr. Ruskin's theories mast altogether fail in practice. Mr. Keyworth said he had already heard the paper read at the Raskin Society, and so pleased was he with it that he should be delighted to hear it even a third time. The Rev. W. Biuns said he did not think there was any likelihood of readers of Ruskin becoming hero worshippers, at any rate of the writer himself. Although an almost infinitely original genius, he was a growing, developing, backward and forward moving genius all the years of his literary life. The ""Lectures on Art"" and "" Sesame and Lilies"" could not be taken as altogether representing him. He must be looked upon as a creature of evolution. Comparing hie earlierutterances with his later ones, he WAS brought to the conclusion that Mr. Ruskin corrected and modified himself. The real principles of Raskin were laid down in the series of letters called the  ""Fore,"" and with these he doubted whether a single member of the Raskin Society would agree. Those who really carried out Ruskin's views were the volunteers oilwhat was termed the "" Guild of St. George,"" who were very beautiful-souled people, bat, perhaps, not very strong-minded people. There were great practical differences between Mr. Ruskin and modern society. Most of the things, such as railways, steamships, factories, dtc., of which the country was most proud, received very severe judgment in Mr. Ruskin's later utterances. Mr. Ruskila would like to have all agriculture carried on by the spade, and to have all ladies spinning and making their own dresses. ' He was, therefore, not a good practical adviser, but he was a grand idealist. Mr. Reid thanked the President and the Society for expressing their sympathy with his brother, who was unable to attend to read his promised paper. He expressed his opinion that there was, up to the present, a deficienoy of the art faculty amongst workingmen. Workingmen prided themselves upon the possession of energy and common sense, and the calm receptive attitude of to many modern lovers of art was hardly likely to have for them any great attractions. Canon Smith repudiated the idea of accepting art, as the highest ideal to be aimed at. There must be something above and dominating art. be it religion or philosophy. Art in itself need not necessarily be good, and could only exercise a beneficent influence when under the influence and domination of truth, whether philosophic or religions.  • Mr. Bryson agreed with the views of Canon smith as to art requiring the guidance of something higher than itself. There was no great novelty in Mr. Ruskin's teaching, but in what high teaching was there much novelty? The great advantage to be drawn from Anskin's works was that they would lead them to the study of the ideal.  The Chairman questioned whether art in itself was necessarily any help to morality. His own experience was that the mind was elevated rather by the study of nature than art. (Hear. hear.) A working man, though not caring for art, frequently had a very keen appreciation of nature, and was, therefore, a true man.  The Rev. Mr. Kaufmann briefly replied to criticisms on his paper, and the meeting separated. "
